Frame,X,Y,Z
1,0.31224989991991997,0.0,-0.95
2,0.31163374606913297,0.01960633343894788,-0.95
3,0.30978771619452694,0.03913528963709396,-0.95
4,0.30671909573264633,0.05850979672625556,-0.95
5,0.30243999512653486,0.07765339237832211,-0.95
6,0.29696730203134947,0.09649052556713181,-0.95
7,0.29032261466650133,0.114946854733856,-0.95
8,0.2825321565773507,0.13294954117916835,-0.95
9,0.2736266731428537,0.15042753652431434,-0.95
10,0.26364131023759785,0.16731186310660315,-0.95
11,0.25261547552709185,0.18353588620272962,-0.95
12,0.24059268294371322,0.19903557700558444,-0.95
13,0.22762038095709722,0.21374976531670387,-0.95
14,0.21374976531670392,0.22762038095709722,-0.95
15,0.19903557700558447,0.24059268294371322,-0.95
16,0.18353588620272968,0.2526154755270918,-0.95
17,0.16731186310660315,0.26364131023759785,-0.95
18,0.1504275365243143,0.2736266731428537,-0.95
19,0.13294954117916835,0.28253215657735076,-0.95
20,0.11494685473385603,0.2903226146665014,-0.95
21,0.09649052556713184,0.29696730203134947,-0.95
22,0.0776533923783221,0.30243999512653486,-0.95
23,0.05850979672625559,0.3067190957326464,-0.95
24,0.03913528963709403,0.309787716194527,-0.95
25,0.019606333438947923,0.31163374606913297,-0.95
26,1.911979202355057e-17,0.31224989991991997,-0.95
27,-0.01960633343894789,0.31163374606913297,-0.95
28,-0.03913528963709392,0.30978771619452694,-0.95
29,-0.05850979672625556,0.3067190957326464,-0.95
30,-0.07765339237832214,0.30243999512653486,-0.95
31,-0.09649052556713172,0.2969673020313495,-0.95
32,-0.11494685473385595,0.2903226146665014,-0.95
33,-0.1329495411791684,0.28253215657735076,-0.95
34,-0.15042753652431437,0.2736266731428537,-0.95
35,-0.16731186310660323,0.2636413102375978,-0.95
36,-0.18353588620272956,0.25261547552709185,-0.95
37,-0.19903557700558444,0.24059268294371322,-0.95
38,-0.21374976531670392,0.2276203809570972,-0.95
39,-0.2276203809570971,0.21374976531670395,-0.95
40,-0.2405926829437132,0.19903557700558447,-0.95
41,-0.2526154755270918,0.18353588620272965,-0.95
42,-0.2636413102375978,0.16731186310660326,-0.95
43,-0.2736266731428537,0.1504275365243143,-0.95
44,-0.2825321565773507,0.13294954117916843,-0.95
45,-0.29032261466650133,0.11494685473385606,-0.95
46,-0.29696730203134947,0.09649052556713185,-0.95
47,-0.3024399951265348,0.07765339237832225,-0.95
48,-0.30671909573264633,0.05850979672625554,-0.95
49,-0.30978771619452694,0.03913528963709405,-0.95
50,-0.31163374606913297,0.019606333438947948,-0.95
51,-0.31224989991991997,3.823958404710114e-17,-0.95
52,-0.31163374606913297,-0.019606333438947868,-0.95
53,-0.30978771619452694,-0.03913528963709398,-0.95
54,-0.30671909573264633,-0.05850979672625561,-0.95
55,-0.30243999512653486,-0.07765339237832204,-0.95
56,-0.2969673020313495,-0.09649052556713178,-0.95
57,-0.2903226146665014,-0.114946854733856,-0.95
58,-0.2825321565773508,-0.13294954117916824,-0.95
